"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.38140668255128e-76,0.682853314888214,0.47,0.35,1.42254469586128e-71,"0","DPEP1"
1.63418933344745e-71,0.519823192201318,0.661,0.619,3.14940968341992e-67,"0","SLIRP"
1.24695094768641e-66,0.365553360830552,0.771,0.731,2.40312386638124e-62,"0","PPDPF"
4.08136932082616e-66,0.40226192762157,0.729,0.687,7.86561495509618e-62,"0","DDT"
1.14266564226606e-65,0.697962322868666,0.405,0.293,2.20214522577516e-61,"0","PRODH2"
2.60013056821987e-65,0.266730995520311,0.903,0.881,5.01097163107333e-61,"0","GPX4"
4.08018759908778e-65,1.05820413428557,0.287,0.187,7.86333754096197e-61,"0","TOMM5"
2.73004070252618e-64,0.271353924168684,0.907,0.921,5.26133444190846e-60,"0","COX4I1"
1.64288193983112e-63,1.03500689208577,0.296,0.197,3.16616207444254e-59,"0","ZSCAN16-AS1"
3.65590209860229e-63,0.497348711320297,0.665,0.634,7.04565452442633e-59,"0","NDUFA2"
7.65151180674517e-63,0.363626188057121,0.781,0.786,1.47459935539593e-58,"0","UBL5"
6.75133459737867e-60,0.530666245229155,0.594,0.538,1.30111720360682e-55,"0","PHPT1"
5.32303910191057e-59,0.472438620868211,0.696,0.679,1.02585609572021e-54,"0","NDUFB4"
8.17998426096368e-58,1.05221984701874,0.28,0.189,1.57644656677292e-53,"0","SMIM4"
7.15716728131937e-57,0.256183568573836,0.878,0.887,1.37932927845587e-52,"0","RPL38"
5.4330886505815e-56,0.524286997277947,0.492,0.397,1.04706484474007e-51,"0","IFITM3"
8.39793029334036e-56,0.354178721089956,0.763,0.775,1.61844912613255e-51,"0","TMA7"
1.15714418039843e-54,0.35229788335224,0.7,0.627,2.23004826446385e-50,"0","ASS1"
6.60884286933249e-52,0.320731182536262,0.793,0.804,1.27365619777776e-47,"0","ELOB"
1.99794788377427e-50,0.598408185915799,0.561,0.526,3.85044516160977e-46,"0","COPS9"
9.78229614775509e-50,0.43355257503616,0.604,0.528,1.88524411359536e-45,"0","RARRES3"
3.72586994034272e-49,0.326594415922142,0.79,0.788,7.1804965490285e-45,"0","NDUFS5"
1.68987299655683e-48,0.478898134962751,0.582,0.532,3.25672323896432e-44,"0","TMEM256"
2.15989180759163e-47,0.521882755859647,0.593,0.567,4.16254349159059e-43,"0","COX14"
1.82645501178062e-45,0.540584163626983,0.545,0.497,3.5199440987036e-41,"0","CISD1"
3.85069442128882e-45,0.538251717632231,0.558,0.52,7.42105828870781e-41,"0","ROMO1"
2.70901611568324e-44,0.813749887841436,0.267,0.184,5.22081585814474e-40,"0","SLC22A8"
4.06815424588739e-44,0.542617369303608,0.553,0.509,7.84014686267419e-40,"0","FKBP2"
1.39720720559288e-42,0.720978869316069,0.353,0.275,2.6926977266186e-38,"0","RAB11FIP3"
8.18236560421757e-42,0.794657742642872,0.342,0.266,1.57690549924481e-37,"0","PET100"
1.985558509017e-39,0.356167148833929,0.664,0.631,3.82656835857756e-35,"0","RPS17"
1.67812043969804e-35,0.272343655061,0.753,0.751,3.23407371138606e-31,"0","UQCRH"
5.89106074967577e-34,0.409860279314727,0.572,0.532,1.13532522767751e-29,"0","NDUFA13"
2.45108026052578e-33,0.254027751038494,0.763,0.724,4.72372187808527e-29,"0","LGALS2"
1.32612913651536e-31,0.295272161496842,0.65,0.608,2.55571607189239e-27,"0","C11orf54"
1.60880852508497e-30,0.261172101339292,0.73,0.697,3.10049578954375e-26,"0","ADI1"
2.76071486489273e-29,0.790463231879091,0.302,0.243,5.32044968762127e-25,"0","SLC7A7"
1.65807982430206e-28,0.600396061745389,0.438,0.4,3.19545143739492e-24,"0","NAA38"
2.54828156944041e-28,0.331292380374608,0.407,0.325,4.91104824062556e-24,"0","APOM"
1.23190736464252e-27,0.399994125076573,0.441,0.369,2.37413187313907e-23,"0","MAOA"
2.35813200100531e-27,0.480914502103107,0.538,0.513,4.54459199233744e-23,"0","DUSP23"
3.10344815432696e-27,0.268016752609379,0.731,0.749,5.98096528301892e-23,"0","OST4"
3.2105577827706e-27,0.29713836464376,0.645,0.618,6.1873869589555e-23,"0","DNPH1"
1.78322751239701e-25,0.514191654584835,0.411,0.358,3.43663606189151e-21,"0","GCHFR"
4.86284930320769e-25,0.579891596986295,0.443,0.413,9.37168317714185e-21,"0","SNRPB2"
5.98940507711326e-25,0.378697654363669,0.585,0.576,1.15427814646127e-20,"0","RNF181"
1.10391551146972e-23,0.453384029207577,0.489,0.467,2.12746597370444e-19,"0","PRELID1"
2.00443099522402e-23,0.321368930716524,0.596,0.568,3.86293941399574e-19,"0","TMEM176A"
2.08366387861083e-22,0.326097289255225,0.637,0.649,4.01563702685879e-18,"0","TBCA"
7.13361520141871e-22,0.469653630718844,0.427,0.389,1.37479032161741e-17,"0","CAMK2N1"
1.00171238320157e-21,0.276876948864459,0.712,0.725,1.93050010490607e-17,"0","RPS21"
5.70880733465562e-21,0.359052039920526,0.487,0.437,1.10020134953483e-16,"0","MSRA"
3.01315113318089e-20,0.694291589254152,0.307,0.265,5.8069448638662e-16,"0","CHCHD5"
4.71977181812224e-20,0.370024661931978,0.566,0.569,9.09594424788519e-16,"0","GUK1"
4.88542464780419e-19,0.807966672736106,0.276,0.236,9.41519038124823e-15,"0","ALDH4A1"
6.61104813584385e-19,0.373235038708054,0.525,0.513,1.27408119673983e-14,"0","MRPL57"
9.12963444742437e-19,0.498484310043633,0.411,0.381,1.75946315070762e-14,"0","COX20"
2.23331047689809e-18,0.478391348712532,0.373,0.329,4.304035951078e-14,"0","HSD17B14"
3.50408639459857e-18,0.579087078205503,0.272,0.224,6.75307529967036e-14,"0","CUBN"
6.56934159577114e-18,0.480234066784051,0.413,0.382,1.26604351233701e-13,"0","ISOC2"
3.08821406635523e-17,0.337471020317143,0.553,0.548,5.95160614867981e-13,"0","TXNDC17"
6.06461370373716e-17,0.312152651797129,0.581,0.589,1.16877235298423e-12,"0","ZNHIT1"
7.65638001276112e-17,0.458831994651179,0.411,0.381,1.47553755605932e-12,"0","MPST"
1.0732401711454e-16,0.403906807219103,0.479,0.467,2.06834845783141e-12,"0","SMIM26"
2.52987381146107e-15,0.31683258746914,0.384,0.331,4.87557280944778e-11,"0","ASPDH"
6.29754378616581e-15,0.421335486361443,0.444,0.428,1.21366263846987e-10,"0","MRPS36"
4.47995903288049e-14,0.261171410767442,0.635,0.654,8.63377704816728e-10,"0","ATP6V1F"
1.02779507112175e-13,0.426442971281233,0.432,0.416,1.98076666106584e-09,"0","GLS"
1.27044577730475e-13,0.256068697158801,0.582,0.58,2.44840310202171e-09,"0","MINOS1"
1.75953880322355e-13,0.417960675842819,0.439,0.43,3.39098318157243e-09,"0","POLR2I"
3.07072487564099e-13,0.522181957967827,0.336,0.31,5.91790098033532e-09,"0","NDUFAF8"
9.78896012313789e-13,0.62890743113205,0.288,0.259,1.88652839493113e-08,"0","CTSB"
1.55889676374656e-12,0.542021834012172,0.326,0.298,3.00430584309237e-08,"0","SLC13A1"
2.84458320201216e-12,0.448733559364962,0.407,0.392,5.48208074691784e-08,"0","MTIF3"
1.2295437872364e-11,0.500407446286462,0.329,0.303,2.369576786762e-07,"0","FUOM"
3.05602059785551e-11,0.280558774276901,0.52,0.511,5.88956289618714e-07,"0","RPL17"
3.19945191875097e-11,0.356157861454981,0.477,0.481,6.16598373781688e-07,"0","SELENOH"
3.42035781743592e-11,0.533622130542255,0.292,0.265,6.59171358576251e-07,"0","HIST1H1C"
1.46599090192097e-09,0.320893493889649,0.408,0.387,2.82525766618209e-05,"0","ACOT13"
2.55313078641743e-09,0.337918997496855,0.412,0.395,4.92039365158367e-05,"0","S100A13"
4.59225930193669e-09,0.482519575703782,0.255,0.227,8.85020212669239e-05,"0","SVIP"
1.5394461652491e-08,0.513541810518968,0.297,0.279,0.000296682064966807,"0","SMIM37"
7.49730762437912e-08,0.300375731001318,0.485,0.498,0.00144488112537034,"0","MRPL41"
7.63393389468444e-08,0.323310856947313,0.478,0.494,0.00147121174018358,"0","TIMM13"
3.05201700788751e-07,0.283872017427658,0.516,0.541,0.00588184717760081,"0","MRPS21"
3.2318059115563e-07,0.319581042591509,0.409,0.404,0.0062283363527513,"0","CISD3"
6.6362637141125e-07,0.505284533519023,0.264,0.246,0.0127894074298376,"0","MGST2"
6.82366800623562e-07,0.409158953621195,0.372,0.371,0.0131505729816173,"0","RPA3"
7.89175123329708e-07,0.296330826161275,0.483,0.502,0.0152089829768101,"0","LAMTOR2"
1.34945906421334e-06,0.46497730098039,0.333,0.331,0.0260067750855195,"0","NDUFV3"
6.01995471907204e-06,0.340581323490706,0.404,0.41,0.116016567345956,"0","RWDD1"
7.84897497708337e-06,0.342003856521751,0.462,0.47,0.151265445758351,"0","ATP1B1"
9.8266950478567e-06,0.350743835865408,0.365,0.359,0.189380066962294,"0","CTSH"
5.36683533273296e-05,0.293833039083693,0.435,0.451,1,"0","ANAPC11"
6.3823074065636e-05,0.278519306063379,0.472,0.495,1,"0","FAM96B"
8.22809978429124e-05,0.324927429579292,0.448,0.474,1,"0","TMEM258"
0.000145693206921464,0.353201441112694,0.367,0.373,1,"0","ATP6V1E1"
0.000219138609359998,0.264907814589819,0.456,0.47,1,"0","CFDP1"
0.000234708407418849,0.261928135583008,0.385,0.389,1,"0","SNHG8"
0.000245685120684485,0.41735182163038,0.302,0.299,1,"0","SLC25A39"
0.00090194214809805,0.35161926659778,0.342,0.348,1,"0","MRPS33"
0.001387755258453,0.454588857312748,0.269,0.266,1,"0","KIAA1191"
0.00268147828637637,0.332138596825562,0.312,0.314,1,"0","PNKD"
0.006042848546149,0.25266932334912,0.429,0.456,1,"0","MRPL52"
0,2.56279836488311,0.711,0.224,0,"1","SOD2"
0,1.43903305199734,0.903,0.446,0,"1","MT-ND5"
0,3.13338313335492,0.98,0.528,0,"1","GSTP1"
0,1.47787179870588,0.73,0.314,0,"1","CD24"
0,1.6425340325721,0.816,0.406,0,"1","C12orf75"
0,1.55823518383507,0.766,0.364,0,"1","FABP3"
0,1.67134801850019,0.695,0.31,0,"1","CNN3"
0,1.81891668294281,0.634,0.256,0,"1","ANXA4"
0,1.3907829153647,0.858,0.481,0,"1","S100A11"
0,1.57852229940975,0.67,0.299,0,"1","CARHSP1"
0,1.61584132369179,0.728,0.375,0,"1","KRT18"
0,1.94357526118732,0.504,0.156,0,"1","TAGLN2"
0,1.23995707991287,0.687,0.341,0,"1","S100A10"
0,1.11638325890807,0.704,0.358,0,"1","ACTG1"
0,1.46118256083326,0.639,0.306,0,"1","TNFSF10"
0,1.97249590559938,0.448,0.122,0,"1","HIF1A"
0,1.40620164858828,0.595,0.27,0,"1","HCFC1R1"
0,1.45091291678471,0.978,0.656,0,"1","TMSB10"
0,1.22087127872949,0.835,0.515,0,"1","HNRNPA1"
0,1.60317891148032,0.548,0.233,0,"1","CDK2AP2"
0,2.02727554477039,0.459,0.145,0,"1","PIGR"
0,1.6948824592554,0.429,0.125,0,"1","VIM"
0,0.955871946613732,0.868,0.566,0,"1","RPS10"
0,1.35918579534713,0.992,0.69,0,"1","MT-ND3"
0,1.0305538333398,0.785,0.485,0,"1","RARRES3"
0,1.82019220749491,0.435,0.139,0,"1","TAX1BP3"
0,1.28666803760812,0.997,0.727,0,"1","MT-CYB"
0,1.08914287758738,0.817,0.549,0,"1","NPM1"
0,2.15984869108645,0.358,0.094,0,"1","APP"
0,1.09204309009693,0.996,0.735,0,"1","MT-ND2"
0,2.03713078230079,0.992,0.735,0,"1","IL32"
0,1.97482189835391,0.356,0.1,0,"1","CDH6"
0,0.943661381467917,0.848,0.594,0,"1","UBC"
0,1.12384876828986,0.997,0.745,0,"1","MT-ATP6"
0,4.33105238137452,0.263,0.017,0,"1","AL353751.1"
0,2.72587993713757,0.282,0.049,0,"1","TMEM54"
0,1.17300172349356,0.999,0.776,0,"1","MT-ND4"
0,1.0283710349034,0.986,0.795,0,"1","FXYD2"
0,1.08253957498557,0.999,0.833,0,"1","MT-CO1"
0,1.21728164143147,0.998,0.836,0,"1","MT-CO3"
0,0.77208499287307,0.999,0.851,0,"1","MT-CO2"
0,1.30656169543288,0.987,0.843,0,"1","MYL6"
0,0.503370512090816,0.993,0.946,0,"1","RPL8"
0,0.611972691688671,0.997,0.965,0,"1","RPL7"
0,0.581668811249855,0.997,0.967,0,"1","RPL26"
0,0.569929551895041,1,0.988,0,"1","RPLP1"
0,0.717623184783932,1,0.996,0,"1","EEF1A1"
1.75788556790316e-320,1.98021255832118,0.316,0.086,3.38779706646296e-316,"1","NIPSNAP2"
3.6651894328155e-317,1.33618983140342,0.52,0.219,7.06355307492202e-313,"1","TCEAL9"
1.92608700393403e-308,0.519273642725437,0.978,0.656,3.71195487398166e-304,"1","MT-ND1"
2.79209180516323e-299,0.782391097386522,0.889,0.703,5.38091932691058e-295,"1","MYL12B"
4.98340158676669e-290,0.918016026345692,0.773,0.498,9.60401153801677e-286,"1","MYL12A"
3.59440193474795e-282,0.480843073841259,0.984,0.915,6.92713140864626e-278,"1","RPS9"
1.98321709744166e-281,0.53479775253885,0.975,0.848,3.82205599018956e-277,"1","RPL39"
1.02861741370157e-279,0.659402284165258,0.953,0.829,1.98235147968567e-275,"1","DBI"
1.40473181281219e-276,0.499775387506107,0.988,0.937,2.70719914965165e-272,"1","RPL15"
5.24071204665234e-273,0.395702416992805,0.996,0.948,1.00999002563084e-268,"1","RPLP2"
8.944847588376e-269,1.46690026868348,0.429,0.174,1.72385102723182e-264,"1","STMN1"
9.03961213766505e-265,1.61426917087102,0.306,0.092,1.74211405117081e-260,"1","SOX4"
3.06230758203282e-263,0.507533461955486,0.732,0.434,5.90167917209365e-259,"1","CD74"
1.10084771406854e-262,1.72221829825759,0.336,0.113,2.12155371455288e-258,"1","THY1"
1.48443866772553e-262,1.96404269363555,0.279,0.08,2.86081020044065e-258,"1","ADGRG1"
2.42066297456873e-262,0.617474456116784,0.924,0.753,4.66510168458886e-258,"1","PFN1"
2.15108151779076e-258,0.797031945205343,0.846,0.639,4.14556430108635e-254,"1","YBX1"
7.06272255507263e-258,0.352623824008111,0.998,0.978,1.3611278908136e-253,"1","RPS18"
4.41478982459648e-252,0.682450675857603,0.901,0.741,8.50818294996234e-248,"1","PPIA"
3.50767031818985e-251,1.7930251249645,0.312,0.101,6.75998223721547e-247,"1","RCAN1"
2.38516643424876e-248,0.591355476229188,0.939,0.786,4.59669275208422e-244,"1","UQCRB"
3.91618047721199e-244,1.11589855254019,0.551,0.281,7.54726301568294e-240,"1","FKBP1A"
1.85923470706846e-239,0.955814010182616,0.635,0.358,3.58311712746234e-235,"1","CSTB"
3.96146271440446e-238,1.39902629387546,0.397,0.162,7.63453094320028e-234,"1","NME1"
9.56328579686313e-236,0.961518621881163,0.624,0.341,1.84303643877146e-231,"1","S100A13"
2.35264122579363e-235,1.10032117975446,0.485,0.219,4.53401017034949e-231,"1","MT-ND4L"
3.16132923271382e-230,1.69988083192633,0.31,0.106,6.09251369728608e-226,"1","VCAM1"
3.41299200933349e-227,0.444142930792251,0.987,0.929,6.5775182003875e-223,"1","RPS24"
6.56584287980382e-223,0.331046480114616,0.998,0.993,1.26536923979579e-218,"1","RPL10"
2.85448561649322e-221,1.50836029067347,0.327,0.12,5.50116468010574e-217,"1","SLC40A1"
8.23922394388034e-221,0.398200115672667,0.995,0.967,1.58786323846462e-216,"1","SERF2"
2.40235329208723e-219,0.323844883595885,0.999,0.995,4.62981526451051e-215,"1","RPL34"
7.00463812191937e-218,0.319535214082814,0.999,0.989,1.3499338588563e-213,"1","RPL13A"
1.89904212117883e-215,0.653307638431617,0.812,0.567,3.65983397593585e-211,"1","H3F3B"
2.02775009937799e-213,0.424876673506777,0.988,0.935,3.90787999152125e-209,"1","RPL29"
1.93277944026905e-209,0.385944890241886,0.982,0.933,3.72485253728651e-205,"1","RPL18A"
4.04630133801151e-209,0.752318411346793,0.779,0.557,7.79803193861578e-205,"1","SUMO2"
2.4971216383587e-205,1.26007642202952,0.405,0.18,4.81245282144489e-201,"1","JPT1"
5.5203749585115e-203,0.76372594991835,0.411,0.172,1.06388666200434e-198,"1","TXNIP"
1.86100760719414e-202,0.425409629895523,0.986,0.929,3.58653386058454e-198,"1","RPL9"
2.18939368143989e-202,0.804932264766619,0.697,0.437,4.21939950287097e-198,"1","RPL36A"
3.43765698771198e-195,0.541831545939996,0.933,0.803,6.62505254671852e-191,"1","RPLP0"
1.29864431998721e-194,1.58247643311653,0.26,0.086,2.50274733347935e-190,"1","TNFRSF12A"
3.85565582092352e-191,0.830102225643679,0.771,0.57,7.4306198980838e-187,"1","ENO1"
6.4041754128825e-190,0.553725530199269,0.986,0.872,1.23421268557072e-185,"1","CRYAB"
6.20852664402336e-189,0.580032931532021,0.882,0.696,1.19650725483618e-184,"1","PRDX5"
7.95913984355135e-183,0.864462566781534,0.556,0.303,1.53388543064922e-178,"1","IGFBP7"
2.16159415314235e-182,0.716850073636103,0.695,0.449,4.16582425193594e-178,"1","CYCS"
1.20835548552814e-181,0.56550420533446,0.928,0.784,2.32874269170984e-177,"1","HSPB1"
3.67279106208581e-181,0.372314973931495,0.99,0.961,7.07820293485178e-177,"1","RPS3A"
1.18211292978543e-177,1.11665203764953,0.428,0.212,2.27816803828248e-173,"1","YBX3"
4.03450757860738e-172,0.800436385821509,0.647,0.414,7.77530300549214e-168,"1","HSBP1"
6.01100327326568e-172,1.20577057506816,0.323,0.133,1.15844055082376e-167,"1","TSC22D1"
7.27900362710545e-170,0.838423661639966,0.621,0.388,1.40280957901576e-165,"1","PPA1"
2.25060688211629e-169,0.531700132679997,0.882,0.717,4.33736958321452e-165,"1","UQCRH"
7.37600367873e-169,1.1192846374782,0.422,0.21,1.42150342896485e-164,"1","PLIN2"
7.59657153029374e-168,1.36557236003634,0.274,0.104,1.46401126531821e-163,"1","MAP1LC3A"
1.05822043476405e-164,1.11077616664491,0.386,0.182,2.03940242187729e-160,"1","AC245595.1"
4.31365788283289e-164,0.981628558944995,0.524,0.296,8.31328147179554e-160,"1","TSPAN1"
2.50515486601583e-163,0.463500272876593,0.929,0.804,4.82793445778571e-159,"1","RPS11"
