"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.06873182433865,0.694,0.282,0,"0","PCP4"
0,1.98656974015163,0.461,0.195,0,"0","PRAP1"
3.37971814178787e-131,1.81830714031537,0.259,0.123,6.51339280285358e-127,"0","MT1M"
0,1.59670149972346,0.876,0.545,0,"0","S100A1"
0,1.57479958992467,0.819,0.365,0,"0","FABP1"
7.20373364889646e-219,1.5745327778421,0.383,0.184,1.38830354881532e-214,"0","NKAIN4"
0,1.47474144842204,0.999,0.91,0,"0","GPX3"
0,1.37537021518328,0.997,0.885,0,"0","MT1H"
6.57405455223414e-151,1.35928195812551,0.422,0.269,1.26695179330656e-146,"0","FAM107B"
0,1.32848992745865,0.797,0.618,0,"0","MDH1"
0,4.33105238137452,0.263,0.017,0,"1","AL353751.1"
0,3.13338313335492,0.98,0.528,0,"1","GSTP1"
0,2.72587993713757,0.282,0.049,0,"1","TMEM54"
0,2.56279836488311,0.711,0.224,0,"1","SOD2"
0,2.15984869108645,0.358,0.094,0,"1","APP"
0,2.03713078230079,0.992,0.735,0,"1","IL32"
0,2.02727554477039,0.459,0.145,0,"1","PIGR"
1.75788556790316e-320,1.98021255832118,0.316,0.086,3.38779706646296e-316,"1","NIPSNAP2"
0,1.97482189835391,0.356,0.1,0,"1","CDH6"
0,1.97249590559938,0.448,0.122,0,"1","HIF1A"
0,3.3708066964057,0.633,0.112,0,"2","AGXT"
0,3.32037702314595,0.567,0.098,0,"2","AC093496.1"
0,3.18064098333741,0.255,0.04,0,"2","MYH8"
0,2.71955514491423,0.384,0.092,0,"2","AC026462.3"
0,2.66132209437153,0.392,0.089,0,"2","GCAT"
1.19709460889396e-297,2.49753026754685,0.251,0.055,2.30704073026044e-293,"2","SULT1A1"
9.90182761217516e-311,2.45824214540707,0.309,0.084,1.9082802174184e-306,"2","HRASLS2"
0,2.33659400704548,0.364,0.101,0,"2","GPT"
1.37221598367968e-291,2.14840410485576,0.345,0.111,2.64453464374748e-287,"2","LYG1"
0,2.016480216887,0.65,0.155,0,"2","RBP4"
0,5.78295801845675,0.341,0.007,0,"3","MTRNR2L11"
0,5.701516665152,0.66,0.016,0,"3","MTRNR2L1"
0,5.70044482787225,0.516,0.012,0,"3","MTRNR2L10"
0,5.61390410603598,0.459,0.011,0,"3","MTRNR2L6"
0,4.88710767338779,0.56,0.03,0,"3","MTRNR2L8"
0,4.57282292411745,0.316,0.013,0,"3","NACA2"
0,4.09001246654889,0.473,0.042,0,"3","MTRNR2L12"
0,3.87219551516097,0.306,0.02,0,"3","TIPIN"
0,3.66930390365032,0.467,0.041,0,"3","ERRFI1"
0,3.61979300587833,0.536,0.05,0,"3","FN3K"
0,11.6216042655848,0.282,0,0,"4","TRGC2"
0,11.620608485535,0.253,0,0,"4","TRDC"
0,10.9866876737439,0.593,0.002,0,"4","GZMA"
0,10.8378604826338,0.391,0.001,0,"4","FGFBP2"
0,10.7854618334197,0.337,0,0,"4","CTSW"
0,10.7280561969582,0.421,0.001,0,"4","CD3G"
0,10.674301043846,0.466,0.004,0,"4","GNLY"
0,10.6030626181489,0.442,0.001,0,"4","PRF1"
0,10.6009729419831,0.545,0.001,0,"4","TRBC1"
0,10.5916966287381,0.333,0.001,0,"4","KLRD1"
0,12.2653000190803,0.26,0,0,"5","CSF1R"
0,11.3934413921057,0.351,0,0,"5","FPR1"
0,11.1420098846064,0.392,0.001,0,"5","S100A12"
0,11.1051482516317,0.506,0,0,"5","CSTA"
0,11.0189644228075,0.27,0,0,"5","LILRB2"
0,10.8988637752719,0.289,0,0,"5","LILRA5"
0,10.5990845810812,0.856,0.005,0,"5","LYZ"
0,10.5099175427698,0.805,0.002,0,"5","FCN1"
0,10.2176801005202,0.363,0,0,"5","HCK"
0,10.1308403392306,0.411,0.001,0,"5","IGSF6"
0,7.0943129470162,0.495,0.009,0,"6","ABHD14A-ACY1"
0,5.28663417938061,0.437,0.018,0,"6","KCNQ1OT1"
0,4.42209748426071,0.285,0.02,0,"6","REV3L"
0,4.37182859704952,0.997,0.108,0,"6","NEAT1"
0,4.19358785105731,0.302,0.019,0,"6","AC005726.1"
1.15584465629085e-307,4.1355789678061,0.258,0.018,2.22754382160373e-303,"6","SLC5A8"
0,4.12342692934721,0.473,0.047,0,"6","MUC20-OT1"
0,4.08727546181173,0.545,0.067,0,"6","SLC22A7"
0,3.72728141236798,0.998,0.279,0,"6","MALAT1"
1.42003271518336e-273,3.47816333053031,0.408,0.055,2.73668704870137e-269,"6","HOOK2"
0,8.11127828258136,0.28,0.002,0,"7","MEG3"
0,5.02255851356103,0.33,0.007,0,"7","GOLGA8B"
0,4.78544268832127,0.32,0.008,0,"7","CNTNAP3B"
0,4.68005705159169,0.402,0.011,0,"7","AC004951.1"
0,4.47032839509676,0.309,0.009,0,"7","RIC3"
0,4.37609362143295,0.839,0.046,0,"7","POLR2J3.1"
0,4.23819620089739,1,0.116,0,"7","NEAT1"
0,4.22353148131028,0.252,0.009,0,"7","EFHC1"
0,4.09608514083499,0.332,0.015,0,"7","TTLL7"
0,4.06754441462732,0.491,0.026,0,"7","SORBS2"
0,9.57894181588592,0.365,0.002,0,"8","TMEM52B"
0,9.01346718723841,0.334,0.002,0,"8","TUBB2B"
0,8.84125832675824,0.295,0.001,0,"8","LINC02121"
0,8.69101435452558,0.433,0.003,0,"8","PVALB"
0,8.68349028350483,0.534,0.004,0,"8","DUSP9"
0,8.56502469105604,0.416,0.002,0,"8","KNG1"
0,8.29795787819594,0.379,0.002,0,"8","UMOD"
0,7.89300351810593,0.5,0.01,0,"8","S100A2"
0,6.4615950365158,0.986,0.141,0,"8","DEFB1"
0,5.38981551971729,0.461,0.019,0,"8","FOLR3"
1.27048625113414e-78,3.29548620946758,0.576,0.132,2.44848110318571e-74,"9","SOX4"
8.46962367698678e-37,3.00925747025509,0.271,0.055,1.63226587502889e-32,"9","C19orf33"
6.60742553876537e-35,2.09387681115499,0.65,0.311,1.27338304983086e-30,"9","TPM1"
2.73467644810669e-22,2.07778009500111,0.305,0.095,5.27026845079121e-18,"9","ANXA2"
6.03106760151766e-52,2.06915870991765,0.627,0.197,1.16230734816448e-47,"9","S100A6"
1.17387618873066e-16,2.00841246221298,0.271,0.095,2.26229419092173e-12,"9","AKAP12"
4.56726205271503e-18,1.8682249788454,0.254,0.08,8.80202742799241e-14,"9","NMT2"
1.37671971951096e-21,1.76453540512657,0.446,0.186,2.65321424344152e-17,"9","VIM"
4.57312076394301e-55,1.61366862386365,0.938,0.555,8.81331833627096e-51,"9","S100A11"
1.03372757747277e-33,1.60699605084746,0.746,0.41,1.99219978730552e-29,"9","S100A10"
0,12.9223794593516,0.594,0.001,0,"10","IGHM"
0,12.5155712655758,0.391,0,0,"10","TCL1A"
0,12.4311138723132,0.32,0,0,"10","IGHD"
